sample,strategy,imputation,upstream,rmse_test,best_st_rmse,abs_gain,pct_gain,positive_gain
75,MLP,Ground Truth,2,0.8285113573074341,0.9804686903953552,0.15195733308792114,0.15498438101745735,True
75,MLP,Ground Truth,2,0.8285113573074341,0.8024438619613647,-0.026067495346069336,-0.032485132707419734,False
75,MLP-E2E,Ground Truth,2,1.5002070665359497,0.948449432849884,-0.5517576336860657,-0.581747022641106,False
75,MLP-E2E,Ground Truth,2,1.5002070665359497,0.8935254216194153,-0.6066816449165344,-0.6789752481994206,False
75,MLP-E2E,Ground Truth,2,1.5002070665359497,0.8760074973106384,-0.6241995692253113,-0.7125504874577183,False
75,MLP-E2E,Ground Truth,2,1.5002070665359497,0.645125150680542,-0.8550819158554077,-1.325451216641271,False
75,MLP-E2E,Ground Truth,2,1.5002070665359497,1.1098624467849731,-0.39034461975097656,-0.3517054035675492,False
75,MLP-E2E,Ground Truth,2,1.5002070665359497,0.8950610756874084,-0.6051459908485413,-0.6760946345295913,False
75,MLP-E2E,Ground Truth,2,1.5002070665359497,0.8850003480911255,-0.6152067184448242,-0.6951485609828014,False
75,MLP-E2E,Ground Truth,2,1.5002070665359497,1.1026415824890137,-0.39756548404693604,-0.3605573110615908,False
75,MLP-E2E,Ground Truth,2,1.5002070665359497,1.2487623691558838,-0.2514446973800659,-0.20135512055030377,False
75,MLP-E2E,Ground Truth,2,1.5002070665359497,0.8494835495948792,-0.6507235169410706,-0.7660225053815372,False
75,MLP-E2E,Ground Truth,2,1.5002070665359497,0.9804686903953552,-0.5197383761405945,-0.530091762472313,False
75,MLP-E2E,Ground Truth,2,1.5002070665359497,0.8024438619613647,-0.697763204574585,-0.8695476875716699,False
75,LH,Ground Truth,2,0.8105579614639282,0.948449432849884,0.1378914713859558,0.14538621312853967,True
75,LH,Ground Truth,2,0.8105579614639282,0.8935254216194153,0.08296746015548706,0.09285405669277745,True
75,LH,Ground Truth,2,0.8105579614639282,0.8760074973106384,0.0654495358467102,0.07471344257628121,True
75,LH,Ground Truth,2,0.8105579614639282,0.645125150680542,-0.16543281078338623,-0.2564352213037599,False
75,LH,Ground Truth,2,0.8105579614639282,1.1098624467849731,0.2993044853210449,0.2696770993451162,True
75,LH,Ground Truth,2,0.8105579614639282,0.8950610756874084,0.08450311422348022,0.09441044473817799,True
75,LH,Ground Truth,2,0.8105579614639282,0.8850003480911255,0.07444238662719727,0.08411565801952903,True
75,LH,Ground Truth,2,0.8105579614639282,1.1026415824890137,0.29208362102508545,0.26489443683573005,True
75,LH,Ground Truth,2,0.8105579614639282,1.2487623691558838,0.43820440769195557,0.3509109647403654,True
75,LH,Ground Truth,2,0.8105579614639282,0.8494835495948792,0.03892558813095093,0.0458226508912558,True
75,LH,Ground Truth,2,0.8105579614639282,0.9804686903953552,0.169910728931427,0.1732954153415279,True
75,LH,Ground Truth,2,0.8105579614639282,0.8024438619613647,-0.008114099502563477,-0.0101117347732347,False
75,LH-E2E,Ground Truth,2,0.8115090727806091,0.948449432849884,0.1369403600692749,0.14438340656475374,True
75,LH-E2E,Ground Truth,2,0.8115090727806091,0.8935254216194153,0.08201634883880615,0.09178960872781958,True
75,LH-E2E,Ground Truth,2,0.8115090727806091,0.8760074973106384,0.0644984245300293,0.07362770835642483,True
75,LH-E2E,Ground Truth,2,0.8115090727806091,0.645125150680542,-0.16638392210006714,-0.2579095264299475,False
75,LH-E2E,Ground Truth,2,0.8115090727806091,1.1098624467849731,0.298353374004364,0.2688201361066211,True
75,LH-E2E,Ground Truth,2,0.8115090727806091,0.8950610756874084,0.08355200290679932,0.09334782304395399,True
75,LH-E2E,Ground Truth,2,0.8115090727806091,0.8850003480911255,0.07349127531051636,0.08304095638948744,True
75,LH-E2E,Ground Truth,2,0.8115090727806091,1.1026415824890137,0.29113250970840454,0.26403186160567754,True
75,LH-E2E,Ground Truth,2,0.8115090727806091,1.2487623691558838,0.43725329637527466,0.35014932158056733,True
75,LH-E2E,Ground Truth,2,0.8115090727806091,0.8494835495948792,0.03797447681427002,0.04470301612359668,True
75,LH-E2E,Ground Truth,2,0.8115090727806091,0.9804686903953552,0.1689596176147461,0.1723253575253039,True
75,LH-E2E,Ground Truth,2,0.8115090727806091,0.8024438619613647,-0.009065210819244385,-0.01129700312877569,False
5,MLP,Ground Truth,2,1.047417402267456,1.624961495399475,0.577544093132019,0.355420171349991,True
5,MLP,Ground Truth,2,1.047417402267456,2.5620601177215576,1.5146427154541016,0.5911815671214907,True
5,MLP,Ground Truth,2,1.047417402267456,1.3473296165466309,0.2999122142791748,0.222597507392353,True
5,MLP,Ground Truth,2,1.047417402267456,1.083663821220398,0.036246418952941895,0.033448029031846786,True
5,MLP,Ground Truth,2,1.047417402267456,2.499976396560669,1.452558994293213,0.5810290834311733,True
5,MLP,Ground Truth,2,1.047417402267456,1.6903274059295654,0.6429100036621094,0.3803464354933963,True
5,MLP,Ground Truth,2,1.047417402267456,1.8296552896499634,0.7822378873825073,0.42753293027789924,True
5,MLP,Ground Truth,2,1.047417402267456,1.492289662361145,0.44487226009368896,0.2981138791712856,True
5,MLP,Ground Truth,2,1.047417402267456,3.1275172233581543,2.0800998210906982,0.6650962001281011,True
5,MLP,Ground Truth,2,1.047417402267456,1.3740886449813843,0.3266712427139282,0.23773665833498964,True
5,MLP,Ground Truth,2,1.047417402267456,1.6088048219680786,0.5613874197006226,0.3489468778530062,True
5,MLP,Ground Truth,2,1.047417402267456,1.2402245998382568,0.19280719757080078,0.1554615168864943,True
