feature,importance_global,importance_mean,importance_median,importance_variance
Mor25v,0.12008547451239959,0.24412161117021824,0.2504353670190666,0.013514601030698199
SIC2,0.1200817358485966,0.26196350508391253,0.2743283957088044,0.009894417323688072
AATSC7p,0.12007411448993288,0.2868822669381298,0.2955740157752728,0.013482119258921064
WNSA4,0.12005704745927348,0.2818848748055476,0.2795773767689844,0.010596740209561748
BIC2,0.11997091360373968,0.2627267215180566,0.25277782271804455,0.01030653894140926
GeomDiameter,0.11940034127856514,0.3047574827706716,0.2936629809570875,0.012797189889701226
AATSC1are,0.11906413069005373,0.2203673075612205,0.2164583200066374,0.011264900140065533
Mor15m,0.1189794535980222,0.21455798034060852,0.2234901754843589,0.01008230274506494
Mor17v,0.11878304141033169,0.20290600059481442,0.20897711171756247,0.012408131714328995
TPSA_x,0.11862532207537102,0.2307574898178066,0.24270579046690924,0.013256344025844765
MPC5,0.11829280768905726,0.2610352333657162,0.2513456758338548,0.017459978154828647
AATS1v,0.11807511223920786,0.22222934427708207,0.22594941556505901,0.010470761290398376
MPC4,0.11796489536539623,0.2875159661950755,0.29498801765876376,0.014111900347935849
RPSA,0.11770108773616483,0.2337295797027588,0.23106347015661477,0.013566618351679048
RASA,0.11770108773616483,0.2337295797027588,0.23106347015661477,0.013566618351679048
Vabc,0.11757957719335899,0.2131004386318054,0.22236485583549975,0.013477890032533272
Mor12p,0.11748868700372794,0.20000200583374608,0.20225257113996908,0.014368149610523545
ATSC0p,0.11741372609063383,0.23190190754371237,0.2399889541958608,0.011497173477715268
RPCG,0.11733466670850357,0.2514970383278139,0.2614677017740849,0.008272196521065847
GATS3d,0.11732522523838851,0.22146649985929442,0.213742335728913,0.013376669745296438
ATSC3v,0.1172846510092369,0.21844775869161076,0.23894765624512074,0.013873543852460783
IC0,0.11706421392325694,0.24533386901371437,0.24859523349917267,0.012325138026248395
VE2_A,0.11661324245553706,0.2165884180969352,0.21117742573307924,0.015144352999474382
AATSC5se,0.11656581638393204,0.24482880246721045,0.2447760304933868,0.013311266641403724
