sample,strategy,imputation,upstream,mean_gain,std_gain,prob_positive,n_runs,mean_rmse,mean_best,profile,cluster
50,LH-E2E,Pseudo-Feature,4,-0.000952546908822128,0.21112584819245261,0.55,120,0.9245574116706848,0.9632539302110672,Unstable,2
50,MLP,Gaussian,2,-0.22237386753364363,0.2590482928887776,0.2,120,1.12907931804657,0.9632539302110672,Unstable,1
50,MLP,Gaussian,3,-0.6632263738310075,0.34688443833352817,0.0,120,1.5362848877906798,0.9632539302110672,Consistent Negative,1
50,MLP,Gaussian,4,-0.7234641218130208,0.35960077406670127,0.0,120,1.5919251441955566,0.9632539302110672,Consistent Negative,1
50,MLP,Ground Truth,2,0.06861027320897771,0.19635819023472573,0.675,120,0.860303795337677,0.9632539302110672,Unstable,2
50,MLP,Ground Truth,3,0.3023955377572195,0.14548432349747145,0.9166666666666666,120,0.6443615913391113,0.9632539302110672,Consistent Positive,2
50,MLP,Ground Truth,4,0.10591926680990683,0.1875986373466582,0.8,120,0.8258423149585724,0.9632539302110672,Unstable,2
50,MLP,Mean,2,-0.6649888092510916,0.3472357485855617,0.0,120,1.5379128098487853,0.9632539302110672,Consistent Negative,1
50,MLP,Mean,3,-0.5077116845254157,0.31457794060086114,0.08333333333333333,120,1.3926394581794739,0.9632539302110672,Consistent Negative,1
50,MLP,Mean,4,-0.919231140272574,0.40031719736687044,0.0,120,1.7727507472038269,0.9632539302110672,Consistent Negative,1
50,MLP,Pseudo-Feature,2,-0.1485107488710408,0.2395127337653919,0.25,120,1.060853612422943,0.9632539302110672,Unstable,2
50,MLP,Pseudo-Feature,3,-0.1794523831084452,0.2479383847873346,0.23333333333333334,120,1.0894337058067323,0.9632539302110672,Unstable,1
50,MLP,Pseudo-Feature,4,-0.019129856188555543,0.21290899413091433,0.55,120,0.9413473844528198,0.9632539302110672,Unstable,2
50,MLP-E2E,Gaussian,2,-0.6609031107074981,0.35522711768755755,0.0,120,1.5341389417648315,0.9632539302110672,Consistent Negative,1
50,MLP-E2E,Gaussian,3,-0.45842526060079086,0.30437229203128024,0.08333333333333333,120,1.3471146941184997,0.9632539302110672,Consistent Negative,1
50,MLP-E2E,Gaussian,4,-0.6348271585157976,0.34756572871430225,0.0,120,1.5100531697273254,0.9632539302110672,Consistent Negative,1
50,MLP-E2E,Ground Truth,2,-0.4680690836885783,0.3254685311008922,0.06666666666666667,120,1.3560224771499634,0.9632539302110672,Consistent Negative,1
50,MLP-E2E,Ground Truth,3,-0.004510295635872822,0.2116699862705843,0.5416666666666666,120,0.9278436243534088,0.9632539302110672,Unstable,2
50,MLP-E2E,Ground Truth,4,-0.197276276076348,0.26306903934974346,0.23333333333333334,120,1.1058972358703614,0.9632539302110672,Unstable,1
50,MLP-E2E,Mean,2,-0.20528409035048906,0.25218450436430456,0.21666666666666667,120,1.1132938742637635,0.9632539302110672,Unstable,1
50,MLP-E2E,Mean,3,-0.26379907577768874,0.2662052577158717,0.14166666666666666,120,1.1673428535461425,0.9632539302110672,Consistent Negative,1
50,MLP-E2E,Mean,4,-0.2853647884683873,0.2710926839607775,0.13333333333333333,120,1.1872626185417174,0.9632539302110672,Consistent Negative,1
50,MLP-E2E,Pseudo-Feature,2,0.1983312761772383,0.16769666334309408,0.9166666666666666,120,0.7404834151268005,0.9632539302110672,Consistent Positive,2
50,MLP-E2E,Pseudo-Feature,3,-0.5154274115234339,0.32310033523615783,0.041666666666666664,120,1.3997663021087647,0.9632539302110672,Consistent Negative,1
50,MLP-E2E,Pseudo-Feature,4,-0.06146550119500851,0.2301804252218485,0.4166666666666667,120,0.9804518699645997,0.9632539302110672,Unstable,2
75,LH,Gaussian,2,-0.3196972599012834,0.2533346269560817,0.075,120,1.2029739618301392,0.9364026188850403,Consistent Negative,1
75,LH,Gaussian,3,-0.8344649241123204,0.31282981103216984,0.0,120,1.6722119569778442,0.9364026188850403,Consistent Negative,1
75,LH,Gaussian,4,-0.7594250953086793,0.2976303385974206,0.0,120,1.6038091778755188,0.9364026188850403,Consistent Negative,1
75,LH,Ground Truth,2,0.10590869850780084,0.15094255046447533,0.8333333333333334,120,0.8150115847587586,0.9364026188850403,Consistent Positive,2
75,LH,Ground Truth,3,0.07112087216090517,0.18978712521919947,0.7416666666666667,120,0.8467225313186646,0.9364026188850403,Unstable,2
75,LH,Ground Truth,4,0.0844286421455716,0.17007364143635798,0.8083333333333333,120,0.8345917940139771,0.9364026188850403,Consistent Positive,2
